model_id,downloads,tasks,parameters,tags,license,datasets,model_name,metrics,base_model,languages
facebook/mms-lid-256,1422229,audio-classification,966222720.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'audio-classification', 'mms', 'ab', 'af', 'ak', 'am', 'ar', 'as', 'av', 'ay', 'az', 'ba', 'bm', 'be', 'bn', 'bi', 'bo', 'sh', 'br', 'bg', 'ca', 'cs', 'ce', 'cv', 'ku', 'cy', 'da', 'de', 'dv', 'dz', 'el', 'en', 'eo', 'et', 'eu', 'ee', 'fo', 'fa', 'fj', 'fi', 'fr', 'fy', 'ff', 'ga', 'gl', 'gn', 'gu', 'zh', 'ht', 'ha', 'he', 'hi', 'hu', 'hy', 'ig', 'ia', 'ms', 'is', 'it', 'jv', 'ja', 'kn', 'ka', 'kk', 'kr', 'km', 'ki', 'rw', 'ky', 'ko', 'kv', 'lo', 'la', 'lv', 'ln', 'lt', 'lb', 'lg', 'mh', 'ml', 'mr', 'mk', 'mg', 'mt', 'mn', 'mi', 'my', 'nl', 'no', 'ne', 'ny', 'oc', 'om', 'or', 'os', 'pa', 'pl', 'pt', 'ps', 'qu', 'ro', 'rn', 'ru', 'sg', 'sk', 'sl', 'sm', 'sn', 'sd', 'so', 'es', 'sq', 'su', 'sv', 'sw', 'ta', 'tt', 'te', 'tg', 'tl', 'th', 'ti', 'ts', 'tr', 'uk', 'vi', 'wo', 'xh', 'yo', 'zu', 'za', 'dataset:google/fleurs', 'arxiv:2305.13516', 'license:cc-by-nc-4.0', 'endpoints_compatible', 'region:us']",cc-by-nc-4.0,['google/fleurs'],,['acc'],,"['ab', 'af', 'ak', 'am', 'ar', 'as', 'av', 'ay', 'az', 'ba', 'bm', 'be', 'bn', 'bi', 'bo', 'sh', 'br', 'bg', 'ca', 'cs', 'ce', 'cv', 'ku', 'cy', 'da', 'de', 'dv', 'dz', 'el', 'en', 'eo', 'et', 'eu', 'ee', 'fo', 'fa', 'fj', 'fi', 'fr', 'fy', 'ff', 'ga', 'gl', 'gn', 'gu', 'zh', 'ht', 'ha', 'he', 'hi', 'sh', 'hu', 'hy', 'ig', 'ia', 'ms', 'is', 'it', 'jv', 'ja', 'kn', 'ka', 'kk', 'kr', 'km', 'ki', 'rw', 'ky', 'ko', 'kv', 'lo', 'la', 'lv', 'ln', 'lt', 'lb', 'lg', 'mh', 'ml', 'mr', 'ms', 'mk', 'mg', 'mt', 'mn', 'mi', 'my', 'zh', 'nl', 'no', 'no', 'ne', 'ny', 'oc', 'om', 'or', 'os', 'pa', 'pl', 'pt', 'ms', 'ps', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'ro', 'rn', 'ru', 'sg', 'sk', 'sl', 'sm', 'sn', 'sd', 'so', 'es', 'sq', 'su', 'sv', 'sw', 'ta', 'tt', 'te', 'tg', 'tl', 'th', 'ti', 'ts', 'tr', 'uk', 'ms', 'vi', 'wo', 'xh', 'ms', 'yo', 'ms', 'zu', 'za']"
Alibaba-NLP/gte-multilingual-base,1418262,sentence-similarity,305369089.0,"['sentence-transformers', 'safetensors', 'new', 'feature-extraction', 'mteb', 'transformers', 'multilingual', 'sentence-similarity', 'custom_code', 'af', 'ar', 'az', 'be', 'bg', 'bn', 'ca', 'ceb', 'cs', 'cy', 'da', 'de', 'el', 'en', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'gl', 'gu', 'he', 'hi', 'hr', 'ht', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ky', 'lo', 'lt', 'lv', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'pa', 'pl', 'pt', 'qu', 'ro', 'ru', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'uk', 'ur', 'vi', 'yo', 'zh', 'arxiv:2407.19669', 'arxiv:2210.09984', 'arxiv:2402.03216', 'arxiv:2007.15207', 'arxiv:2104.08663', 'arxiv:2402.07440', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,gte-multilingual-base (dense),,,"['af', 'ar', 'az', 'be', 'bg', 'bn', 'ca', 'ceb', 'cs', 'cy', 'da', 'de', 'el', 'en', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'gl', 'gu', 'he', 'hi', 'hr', 'ht', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ky', 'lo', 'lt', 'lv', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'pa', 'pl', 'pt', 'qu', 'ro', 'ru', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'uk', 'ur', 'vi', 'yo', 'zh']"
meta-llama/Llama-3.2-11B-Vision-Instruct,1416251,image-text-to-text,10670220835.0,"['transformers', 'safetensors', 'mllama', 'image-text-to-text', 'facebook', 'meta', 'pytorch', 'llama', 'llama-3', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'arxiv:2204.05149', 'license:llama3.2', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama3.2,,,,,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']"
briaai/RMBG-2.0,1410359,image-segmentation,220700242.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'birefnet', 'image-segmentation', 'remove background', 'background', 'background-removal', 'Pytorch', 'vision', 'legal liability', 'transformers.js', 'custom_code', 'license:other', 'region:us']",other,,,,,
MaziyarPanahi/Llama-3.2-3B-Instruct-GGUF,1400902,text-generation,,"['gguf', 'mistral', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'base_model:meta-llama/Llama-3.2-3B-Instruct', 'base_model:quantized:meta-llama/Llama-3.2-3B-Instruct', 'region:us', 'conversational']",,,Llama-3.2-3B-Instruct-GGUF,,meta-llama/Llama-3.2-3B-Instruct,
facebook/musicgen-medium,1379224,text-to-audio,,"['transformers', 'pytorch', 'musicgen', 'text-to-audio', 'arxiv:2306.05284', 'license:cc-by-nc-4.0', 'endpoints_compatible', 'region:us']",cc-by-nc-4.0,,,,,
unslothai/vram-16,1363767,feature-extraction,0.0,"['transformers', 'safetensors', 'llama', 'feature-extraction', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
google/byt5-small,1342447,text2text-generation,,"['transformers', 'pytorch', 'tf', 'jax', 't5', 'text2text-generation', 'multilingual', 'af', 'am', 'ar', 'az', 'be', 'bg', 'bn', 'ca', 'ceb', 'co', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fil', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'haw', 'hi', 'hmn', 'ht', 'hu', 'hy', 'ig', 'is', 'it', 'iw', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lb', 'lo', 'lt', 'lv', 'mg', 'mi', 'mk', 'ml', 'mn', 'mr', 'ms', 'mt', 'my', 'ne', 'nl', 'no', 'ny', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sd', 'si', 'sk', 'sl', 'sm', 'sn', 'so', 'sq', 'sr', 'st', 'su', 'sv', 'sw', 'ta', 'te', 'tg', 'th', 'tr', 'uk', 'und', 'ur', 'uz', 'vi', 'xh', 'yi', 'yo', 'zh', 'zu', 'dataset:mc4', 'arxiv:1907.06292', 'arxiv:2105.13626', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,['mc4'],,,,"['multilingual', 'af', 'am', 'ar', 'az', 'be', 'bg', 'bn', 'ca', 'ceb', 'co', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fil', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'haw', 'hi', 'hmn', 'ht', 'hu', 'hy', 'ig', 'is', 'it', 'iw', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lb', 'lo', 'lt', 'lv', 'mg', 'mi', 'mk', 'ml', 'mn', 'mr', 'ms', 'mt', 'my', 'ne', 'nl', 'no', 'ny', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sd', 'si', 'sk', 'sl', 'sm', 'sn', 'so', 'sq', 'sr', 'st', 'su', 'sv', 'sw', 'ta', 'te', 'tg', 'th', 'tr', 'uk', 'und', 'ur', 'uz', 'vi', 'xh', 'yi', 'yo', 'zh', 'zu']"
unslothai/vram-48,1329752,feature-extraction,0.0,"['transformers', 'safetensors', 'llama', 'feature-extraction', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1316303,text-generation,7615616512.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'arxiv:2501.12948', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",mit,,,,,
Helsinki-NLP/opus-mt-es-en,1312768,translation,,"['transformers', 'pytorch', 'tf', 'marian', 'text2text-generation', 'translation', 'es', 'en', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,"['es', 'en']"
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,1297382,zero-shot-image-classification,,"['open_clip', 'pytorch', 'safetensors', 'clip', 'zero-shot-image-classification', 'arxiv:1910.04867', 'arxiv:2212.07143', 'license:mit', 'region:us']",mit,,,,,
microsoft/beit-base-patch16-224-pt22k-ft22k,1278966,image-classification,,"['transformers', 'pytorch', 'jax', 'beit', 'image-classification', 'vision', 'dataset:imagenet', 'dataset:imagenet-21k', 'arxiv:2106.08254', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,"['imagenet', 'imagenet-21k']",,,,
openai/whisper-large,1267169,automatic-speech-recognition,1543304960.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,,whisper-large,,,"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
flair/ner-english-fast,1265790,token-classification,,"['flair', 'pytorch', 'token-classification', 'sequence-tagger-model', 'en', 'dataset:conll2003', 'region:us']",,['conll2003'],,,,en
MaziyarPanahi/Llama-3.3-70B-Instruct-GGUF,1259964,text-generation,,"['gguf', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'base_model:meta-llama/Llama-3.3-70B-Instruct', 'base_model:quantized:meta-llama/Llama-3.3-70B-Instruct', 'region:us', 'conversational']",,,Llama-3.3-70B-Instruct-GGUF,,meta-llama/Llama-3.3-70B-Instruct,
meta-llama/Llama-2-7b-chat-hf,1244212,text-generation,6738417664.0,"['transformers', 'pytorch', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'llama-2', 'conversational', 'en', 'arxiv:2307.09288', 'license:llama2', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama2,,,,,['en']
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,1244185,zero-shot-image-classification,986109774.0,"['open_clip', 'pytorch', 'safetensors', 'clip', 'zero-shot-image-classification', 'arxiv:1910.04867', 'license:mit', 'region:us']",mit,,,,,
HuggingFaceM4/siglip-so400m-14-384,1243148,zero-shot-image-classification,,"['transformers', 'pytorch', 'siglip', 'zero-shot-image-classification', 'custom_code', 'endpoints_compatible', 'region:us']",,,,,,
openai/whisper-tiny,1238346,automatic-speech-recognition,37760640.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,,whisper-tiny,,,"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
timm/mobilenetv3_large_100.ra_in1k,1231806,image-classification,5507432.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'arxiv:2110.00476', 'arxiv:1905.02244', 'license:apache-2.0', 'region:us']",apache-2.0,['imagenet-1k'],,,,
facebook/roberta-hate-speech-dynabench-r4-target,1212681,text-classification,124647684.0,"['transformers', 'pytorch', 'safetensors', 'roberta', 'text-classification', 'en', 'arxiv:2012.15761', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,,,,,en
autogluon/chronos-bolt-tiny,1200854,time-series-forecasting,8652672.0,"['safetensors', 't5', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:1910.10683', 'arxiv:2403.07815', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
sentence-transformers/all-roberta-large-v1,1196303,sentence-similarity,355360258.0,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'roberta', 'fill-mask', 'feature-extraction', 'sentence-similarity', 'transformers', 'en', 'arxiv:1904.06472', 'arxiv:2102.07033', 'arxiv:2104.08727', 'arxiv:1704.05179', 'arxiv:1810.09305', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,en
Qwen/Qwen2-VL-7B-Instruct,1193266,image-text-to-text,8291375616.0,"['transformers', 'safetensors', 'qwen2_vl', 'image-text-to-text', 'multimodal', 'conversational', 'en', 'arxiv:2409.12191', 'arxiv:2308.12966', 'base_model:Qwen/Qwen2-VL-7B', 'base_model:finetune:Qwen/Qwen2-VL-7B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,['Qwen/Qwen2-VL-7B'],['en']
amazon/chronos-t5-mini,1184798,time-series-forecasting,20456192.0,"['transformers', 'safetensors', 't5', 'text2text-generation', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:2403.07815', 'arxiv:1910.10683', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
facebook/rag-token-nq,1183506,,,"['transformers', 'pytorch', 'tf', 'rag', 'en', 'dataset:wiki_dpr', 'arxiv:2005.11401', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,['wiki_dpr'],,,,en
Qwen/Qwen2.5-VL-3B-Instruct,1180423,image-text-to-text,3754622976.0,"['transformers', 'safetensors', 'qwen2_5_vl', 'image-text-to-text', 'multimodal', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2409.12191', 'arxiv:2308.12966', 'base_model:Qwen/Qwen2.5-VL-3B-Instruct', 'base_model:finetune:Qwen/Qwen2.5-VL-3B-Instruct', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,['Qwen/Qwen2.5-VL-3B-Instruct'],['en']
Babelscape/wikineural-multilingual-ner,1178610,token-classification,177270281.0,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'bert', 'token-classification', 'named-entity-recognition', 'sequence-tagger-model', 'de', 'en', 'es', 'fr', 'it', 'nl', 'pl', 'pt', 'ru', 'multilingual', 'dataset:Babelscape/wikineural', 'license:cc-by-nc-sa-4.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",['cc-by-nc-sa-4.0'],['Babelscape/wikineural'],,,,"['de', 'en', 'es', 'fr', 'it', 'nl', 'pl', 'pt', 'ru', 'multilingual']"
sentence-transformers/distiluse-base-multilingual-cased-v1,1177072,sentence-similarity,134734080.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'distilbert', 'feature-extraction', 'sentence-similarity', 'multilingual', 'ar', 'zh', 'nl', 'en', 'fr', 'de', 'it', 'ko', 'pl', 'pt', 'ru', 'es', 'tr', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,"['multilingual', 'ar', 'zh', 'nl', 'en', 'fr', 'de', 'it', 'ko', 'pl', 'pt', 'ru', 'es', 'tr']"
nlptown/bert-base-multilingual-uncased-sentiment,1176119,text-classification,167360261.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'text-classification', 'en', 'nl', 'de', 'fr', 'it', 'es', 'doi:10.57967/hf/1515', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,,,"['en', 'nl', 'de', 'fr', 'it', 'es']"
google/canine-c,1171369,feature-extraction,132099328.0,"['transformers', 'pytorch', 'safetensors', 'canine', 'feature-extraction', 'multilingual', 'af', 'sq', 'ar', 'an', 'hy', 'ast', 'az', 'ba', 'eu', 'bar', 'be', 'bn', 'inc', 'bs', 'br', 'bg', 'my', 'ca', 'ceb', 'ce', 'zh', 'cv', 'hr', 'cs', 'da', 'nl', 'en', 'et', 'fi', 'fr', 'gl', 'ka', 'de', 'el', 'gu', 'ht', 'he', 'hi', 'hu', 'is', 'io', 'id', 'ga', 'it', 'ja', 'jv', 'kn', 'kk', 'ky', 'ko', 'la', 'lv', 'lt', 'roa', 'nds', 'lm', 'mk', 'mg', 'ms', 'ml', 'mr', 'mn', 'min', 'ne', 'new', 'nb', 'nn', 'oc', 'fa', 'pms', 'pl', 'pt', 'pa', 'ro', 'ru', 'sco', 'sr', 'scn', 'sk', 'sl', 'aze', 'es', 'su', 'sw', 'sv', 'tl', 'tg', 'th', 'ta', 'tt', 'te', 'tr', 'uk', 'ud', 'uz', 'vi', 'vo', 'war', 'cy', 'fry', 'pnb', 'yo', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:2103.06874', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,"['bookcorpus', 'wikipedia']",,,,"['multilingual', 'af', 'sq', 'ar', 'an', 'hy', 'ast', 'az', 'ba', 'eu', 'bar', 'be', 'bn', 'inc', 'bs', 'br', 'bg', 'my', 'ca', 'ceb', 'ce', 'zh', 'cv', 'hr', 'cs', 'da', 'nl', 'en', 'et', 'fi', 'fr', 'gl', 'ka', 'de', 'el', 'gu', 'ht', 'he', 'hi', 'hu', 'is', 'io', 'id', 'ga', 'it', 'ja', 'jv', 'kn', 'kk', 'ky', 'ko', 'la', 'lv', 'lt', 'roa', 'nds', 'lm', 'mk', 'mg', 'ms', 'ml', 'mr', 'mn', 'min', 'ne', 'new', 'nb', 'nn', 'oc', 'fa', 'pms', 'pl', 'pt', 'pa', 'ro', 'ru', 'sco', 'sr', 'hr', 'scn', 'sk', 'sl', 'aze', 'es', 'su', 'sw', 'sv', 'tl', 'tg', 'th', 'ta', 'tt', 'te', 'tr', 'uk', 'ud', 'uz', 'vi', 'vo', 'war', 'cy', 'fry', 'pnb', 'yo']"
meta-llama/Llama-3.1-8B,1167911,text-generation,8030261248.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'arxiv:2204.05149', 'license:llama3.1', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama3.1,,,,,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']"
IDEA-Research/grounding-dino-base,1159986,zero-shot-object-detection,232810880.0,"['transformers', 'pytorch', 'safetensors', 'grounding-dino', 'zero-shot-object-detection', 'vision', 'arxiv:2303.05499', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
CompVis/stable-diffusion-v1-4,1155072,text-to-image,,"['diffusers', 'safetensors', 'stable-diffusion', 'stable-diffusion-diffusers', 'text-to-image', 'arxiv:2207.12598', 'arxiv:2112.10752', 'arxiv:2103.00020', 'arxiv:2205.11487', 'arxiv:1910.09700', 'license:creativeml-openrail-m', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",creativeml-openrail-m,,,,,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,1143898,zero-shot-image-classification,151277439.0,"['open_clip', 'pytorch', 'safetensors', 'clip', 'zero-shot-image-classification', 'arxiv:1910.04867', 'license:mit', 'region:us']",mit,,,,,
facebook/mask2former-swin-large-cityscapes-semantic,1136194,image-segmentation,215952796.0,"['transformers', 'pytorch', 'safetensors', 'mask2former', 'vision', 'image-segmentation', 'dataset:coco', 'arxiv:2112.01527', 'arxiv:2107.06278', 'license:other', 'endpoints_compatible', 'region:us']",other,['coco'],,,,
IDEA-Research/grounding-dino-tiny,1130639,zero-shot-object-detection,172277902.0,"['transformers', 'pytorch', 'safetensors', 'grounding-dino', 'zero-shot-object-detection', 'vision', 'arxiv:2303.05499', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
meta-llama/Meta-Llama-3-8B-Instruct,1127302,text-generation,8030261248.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'license:llama3', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama3,,,,,['en']
nomic-ai/nomic-embed-text-v1,1116864,sentence-similarity,136731648.0,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'nomic_bert', 'feature-extraction', 'sentence-similarity', 'mteb', 'transformers', 'transformers.js', 'custom_code', 'en', 'arxiv:2402.01613', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,epoch_0_model,,,['en']
MaziyarPanahi/Mistral-Small-24B-Instruct-2501-GGUF,1111776,text-generation,,"['gguf', 'mistral', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'base_model:mistralai/Mistral-Small-24B-Instruct-2501', 'base_model:quantized:mistralai/Mistral-Small-24B-Instruct-2501', 'region:us', 'conversational']",,,Mistral-Small-24B-Instruct-2501-GGUF,,mistralai/Mistral-Small-24B-Instruct-2501,
sshleifer/distilbart-cnn-12-6,1109942,summarization,,"['transformers', 'pytorch', 'jax', 'rust', 'bart', 'text2text-generation', 'summarization', 'en', 'dataset:cnn_dailymail', 'dataset:xsum', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,"['cnn_dailymail', 'xsum']",,,,en
sentence-transformers/stsb-xlm-r-multilingual,1108300,sentence-similarity,278044162.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'xlm-roberta', 'feature-extraction', 'sentence-similarity', 'transformers', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
Qwen/Qwen2.5-1.5B-Instruct,1107512,text-generation,1543714304.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-1.5B', 'base_model:finetune:Qwen/Qwen2.5-1.5B', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,Qwen/Qwen2.5-1.5B,['en']
